id,poiId,cate_id,frontImg,title,avgScore,allCommentNum,address,avgPrice
105,1614881218,c393,https://img.meituan.net/600.600/msmerchant/afeb1ea4d6395e902adb65462441f24b699771.png,驰走三味·烤肉集合（万达店）,4.1,7,涪城区涪城金街花园路9号,47
106,188063916,c393,https://img.meituan.net/600.600/msmerchant/e1e01acb1c7c5b48393df44a72933d74106698.jpg,妖妖兔,4.9,95,涪城区石塘路14号流星花园,30
107,195907555,c393,https://img.meituan.net/600.600/msmerchant/f0bbef246c57e3eb3973cbeca0aba69f57920.jpg,川巴龍鲜火锅,3.5,2,涪城区滨河北路中段丽景花城4号门,50
108,2628724,c393,http://p1.meituan.net/600.600/poi/4523dab9786c8bcdb66a9ce24845552488064.jpg,虾佬圣汤（曼哈顿旗舰店）,5,92,涪城区御营坝阳光曼哈顿二期（河堤边二楼）,112
109,160166698,c393,http://p1.meituan.net/600.600/deal/5136dafc00eadf5bff082562992d143321937.jpg,地古牛养生汤锅（御营坝店）,3.6,101,涪城区御旗路24号,60
110,177947698,c393,http://p1.meituan.net/600.600/mogu/14c301ef1bff203c0e46807cabb235ec594080.jpg,美善韩式炭火烤肉烤串（万达店）,4,15,涪城区涪城区花园南街66号教体局旁,78
111,163339041,c393,http://p1.meituan.net/600.600/bbia/28e63d73bfb77b0b4df02621e191f7ba53382.jpg,红蜻蜓美蛙鱼头（盐亭店）,4.9,482,盐亭县云溪上街121、123、125号（南井湾）,29
112,1620121633,c393,https://img.meituan.net/600.600/msmerchant/30e98ab56da30b5991ef2a9ef5b2ee0c50531.png,甜心•闲生手工传统冰粉（凯德直营店）,4.3,16,涪城区会仙路4-10号,16
113,194822767,c393,https://img.meituan.net/600.600/msmerchant/3c064c9072721149793f7b27eb994bcd52817.jpg,虾吃虾涮（宝龙广场店）,4.3,8,江油市大鹏路西段（宝龙广场三楼）,46
114,1757438352,c393,https://img.meituan.net/600.600/msmerchant/a04600e4944af6e0ccf40d3822deee8c69212.jpg,幸会山居西餐,3.5,7,涪城区城郊乡白土村（融创九阙府生活体验馆旁）,82
115,180043885,c393,https://img.meituan.net/600.600/msmerchant/69b5fd6067e3692d1c1016e078e4bb901360621.png,双鑫酒家,3.5,0,涪城区丰谷甘露小学经贸街南,50
116,157255135,c393,http://p0.meituan.net/600.600/bbia/b0b6082844105f36646fc19216ecda66518336.png,NaNa·Food娜娜福热狗和咖啡（长虹国际城店）,5,331,涪城区长虹国际城二期29栋3楼41号（光大证券旁）,38
117,165060386,c393,https://img.meituan.net/600.600/msmerchant/9b740e0771c5b01bc5f959b03a424d60145540.jpg,西蜀大宅门火锅（西科大新区店）,4.2,83,涪城区青义北街青羊公寓17号楼一楼门面（蜀香园斜对面）,38
118,1044131425,c393,https://img.meituan.net/600.600/msmerchant/cfe58505a1719b328bd18ed711831af4187976.jpg,SOKESI米亚果子PET猫咖啡馆,4.6,5,涪城区四川省绵阳市涪城区青年路11号,36
119,186382749,c393,https://img.meituan.net/600.600/msmerchant/ed309a839b087ddfa6922e25f47cc2e3159370.jpg,馋火炉鱼（CBD万达店）,3.9,24,涪城区经开区绵州大道经开万达广场室内三楼3051号,46
120,96829677,c393,https://img.meituan.net/600.600/msmerchant/2127ad52fa51e5442abbdc5b9929ff014724343.jpg,驰走三味（万达店）,3.7,1665,涪城区花园路9号万达广场6栋1-2层6-1-43号,60
121,192516485,c393,https://img.meituan.net/600.600/msmerchant/2ba834589212d5200e63ca67bbfb9fb33945543.jpg,胜先生的烘焙店（长虹国际城店）,5,265,涪城区长虹国际城33栋一层1-8号门店,58
122,888035758,c393,https://img.meituan.net/600.600/msmerchant/bfba653d6d5fd76616731012b870100c108045.jpg,景福宫韩式烤肉,0,2,涪城区石桌子街,58
123,193699224,c393,https://img.meituan.net/600.600/msmerchant/61ac246f7196b9a808c850f1949a0961430503.jpg,森米Club休闲餐吧（上马西街店）,3.5,42,涪城区科创区上马西街上马望蜀苑7-1号,59
124,4581057,c393,http://p1.meituan.net/600.600/poi/7de31637ff2a48d262ab1e1bd6a3294059392.jpg,品阁山庄,3.8,59,涪城区莲花寺路与园艺街交叉口,51
125,188015071,c393,https://img.meituan.net/600.600/msmerchant/7160b4f966015035e2e6832d189461d3101316.jpg,小酌轩烤肉店（海悦银河城店）,5,108,游仙区东津路海悦银河城 B馆4楼,60
126,195247173,c393,https://img.meituan.net/600.600/msmerchant/4de47796b18a183b8f9584270374b4d07146820.jpg,锦州特色烧烤（西雅图店）,4.1,33,涪城区虹苑路D-25号,48
127,190650730,c393,https://img.meituan.net/600.600/msmerchant/1e84f2f2a89d6548d6e2d32086fd5f423272749.jpg,正九宫火锅馆,3.9,113,涪城区板桥街,53
128,2255364,c393,http://p1.meituan.net/600.600/dealwatera/f1ed30acc357f099534c7db49df666dd81600.jpg,邓氏火锅城,4,307,涪城区南河路163号（南河体育馆后大门）,56
129,117575318,c393,http://p0.meituan.net/600.600/deal/cae9f24e7d9b6e7ac25f1473404817f245913.jpg,仙海麻麻鱼府,3.5,3,游仙区沉抗镇仙海风景区南沉抗公交站旁,35
